,X,Y,f_H
254,0.08,1.0,0.04858315034798968
255,0.1,0.0,0.953019657555843
256,0.1,0.02,0.9695660432574172
257,0.1,0.04,0.9828155210477983
258,0.1,0.06,0.9924507851685473
259,0.1,0.08,0.9982309731188264
260,0.1,0.1,1.0
261,0.1,0.12,0.9976914163509594
262,0.1,0.14,0.9913294846000185
263,0.1,0.16,0.9810263794129382
264,0.1,0.18,0.966975636854763
265,0.1,0.2,0.9494421914245502
266,0.1,0.22,0.9287495341392618
267,0.1,0.24,0.9052646860439131
268,0.1,0.26,0.8793817995536204
269,0.1,0.28,0.8515052679947748
270,0.1,0.3,0.8220332384637465
271,0.1,0.32,0.7913423853049862
272,0.1,0.34,0.7597747152568818
273,0.1,0.36,0.7276270476693207
274,0.1,0.38,0.6951436533598361
275,0.1,0.4,0.6625123541423559
276,0.1,0.42,0.6298641927835953
277,0.1,0.44,0.5972765907682168
278,0.1,0.46,0.5647797285429247
279,0.1,0.48,0.5323657183203773
280,0.1,0.5,0.5
281,0.1,0.52,0.4676342816796227
282,0.1,0.54,0.4352202714570753
283,0.1,0.56,0.4027234092317831
284,0.1,0.58,0.37013580721640493
285,0.1,0.6,0.33748764585764407
286,0.1,0.62,0.304856346640164
287,0.1,0.64,0.2723729523306792
288,0.1,0.66,0.24022528474311816
289,0.1,0.68,0.20865761469501382
290,0.1,0.7000000000000001,0.17796676153625338
291,0.1,0.72,0.1484947320052254
292,0.1,0.74,0.12061820044637953
293,0.1,0.76,0.09473531395608709
294,0.1,0.78,0.07125046586073824
295,0.1,0.8,0.05055780857544968
296,0.1,0.8200000000000001,0.03302436314523702
297,0.1,0.84,0.018973620587061743
298,0.1,0.86,0.00867051539998156
299,0.1,0.88,0.00230858364904055
300,0.1,0.9,0.0
301,0.1,0.92,0.0017690268811736327
302,0.1,0.9400000000000001,0.007549214831452676
303,0.1,0.96,0.01718447895220161
304,0.1,0.98,0.030433956742582747
305,0.1,1.0,0.04698034244415699
306,0.12,0.0,0.9509279900075883
307,0.12,0.02,0.9673979782781996
308,0.12,0.04,0.9805862810130105
309,0.12,0.06,0.9901770575073527
310,0.12,0.08,0.9959305573628511
311,0.12,0.1,0.9976914163509594
312,0.12,0.12,0.9953934918188482
313,0.12,0.14,0.9890609341711402
314,0.12,0.16,0.9788054001443985
315,0.12,0.18,0.9648195322152766
316,0.12,0.2,0.9473670416359269
317,0.12,0.22,0.9267699258111666
318,0.12,0.24,0.9033935111884439
319,0.12,0.26,0.8776301303152344
320,0.12,0.28,0.8498823093662861
321,0.12,0.3,0.8205463571262166
322,0.12,0.32,0.7899972087710111
323,0.12,0.34,0.7585752919367295
324,0.12,0.36,0.7265760555086632
325,0.12,0.38,0.694242642465115
326,0.12,0.4,0.6617620074152758
327,0.12,0.42,0.6292645880794832
328,0.12,0.44,0.596827448474453
329,0.12,0.46,0.5644806296987177
330,0.12,0.48,0.5322162803841696
331,0.12,0.5,0.5
332,0.12,0.52,0.46778371961583043
333,0.12,0.54,0.43551937030128224
334,0.12,0.56,0.40317255152554704
335,0.12,0.58,0.37073541192051707
336,0.12,0.6,0.33823799258472426
337,0.12,0.62,0.30575735753488503
338,0.12,0.64,0.2734239444913367
339,0.12,0.66,0.24142470806327054
340,0.12,0.68,0.2100027912289889
341,0.12,0.7000000000000001,0.17945364287378332
342,0.12,0.72,0.150117690633714
343,0.12,0.74,0.12236986968476568
344,0.12,0.76,0.09660648881155613
345,0.12,0.78,0.07323007418883352
346,0.12,0.8,0.05263295836407296
347,0.12,0.8200000000000001,0.03518046778472334
348,0.12,0.84,0.021194599855601473
349,0.12,0.86,0.010939065828859862
350,0.12,0.88,0.004606508181151843
351,0.12,0.9,0.00230858364904055
352,0.12,0.92,0.004069442637149005
353,0.12,0.9400000000000001,0.009822942492647242
354,0.12,0.96,0.019413718986989435
355,0.12,0.98,0.03260202172180027
356,0.12,1.0,0.04907200999241167
357,0.14,0.0,0.9451638297211784
358,0.14,0.02,0.9614232840386735
359,0.14,0.04,0.9744430022266082
360,0.14,0.06,0.9839111809354735
361,0.14,0.08,0.989591134468477
362,0.14,0.1,0.9913294846000185
363,0.14,0.12,0.9890609341711402
364,0.14,0.14,0.9828093248746395
365,0.14,0.16,0.9726848861519437
366,0.14,0.18,0.958877797953232
367,0.14,0.2,0.9416484005402542
368,0.14,0.22,0.9213145752622829
369,0.14,0.24,0.8982369786410881
370,0.14,0.26,0.8728029280826156
371,0.14,0.28,0.8454098043161281
372,0.14,0.3,0.8164488501569348
373,0.14,0.32,0.7862902080280777
374,0.14,0.34,0.7552699539185606
375,0.14,0.36,0.7236797600247824
376,0.14,0.38,0.6917596612565058
377,0.14,0.4,0.6596942224037988
378,0.14,0.42,0.6276122138167225
379,0.14,0.44,0.5955897144115897
380,0.14,0.46,0.5636563812750486
381,0.14,0.48,0.5318044634021207
382,0.14,0.5,0.5
383,0.14,0.52,0.46819553659787927
384,0.14,0.54,0.4363436187249514
385,0.14,0.56,0.40441028558841025
386,0.14,0.58,0.3723877861832776
387,0.14,0.6,0.3403057775962012
388,0.14,0.62,0.30824033874349427
389,0.14,0.64,0.27632023997521765
390,0.14,0.66,0.2447300460814394
391,0.14,0.68,0.21370979197192227
392,0.14,0.7000000000000001,0.18355114984306511
393,0.14,0.72,0.15459019568387206
394,0.14,0.74,0.12719707191738436
395,0.14,0.76,0.10176302135891202
396,0.14,0.78,0.07868542473771706
397,0.14,0.8,0.05835159945974581
398,0.14,0.8200000000000001,0.04112220204676789
399,0.14,0.84,0.02731511384805634
400,0.14,0.86,0.01719067512536057
401,0.14,0.88,0.010939065828859862
402,0.14,0.9,0.00867051539998156
403,0.14,0.92,0.010408865531522949
